,0
P00000142,1636
P00000242,546
P00000342,349
P00000442,126
P00000542,229
P00000642,725
P00000742,353
P00000842,54
P00000942,78
P00001042,710
P00001142,829
P00001242,129
P00001342,81
P00001442,122
P00001542,102
P00001642,505
P00001742,662
P00001842,119
P00001942,306
P00002042,134
P00002142,1046
P00002242,286
P00002342,96
P00002442,481
P00002542,782
P00002642,82
P00002742,46
P00002842,137
P00002942,309
P00003042,55
P00003142,114
P00003242,1191
P00003342,3
P00003442,1357
P00003542,51
P00003642,744
P00003742,7
P00003842,24
P00003942,1065
P00004042,21
P00004142,186
P00004242,161
P00004342,130
P00004442,227
P00004542,408
P00004642,124
P00004742,874
P00004842,303
P00004942,23
P00005042,1358
P00005142,341
P00005242,7
P00005342,37
P00005442,36
P00005542,7
P00005642,72
P00005742,404
P00005842,7
P00005942,271
P00006042,52
P00006142,426
P00006242,86
P00006342,59
P00006442,118
P00006542,77
P00006642,3
P00006742,47
P00006842,250
P00006942,731
P00007042,72
P00007142,73
P00007242,171
P00007342,90
P00007442,10
P00007542,124
P00007642,26
P00007742,39
P00007842,89
P00007942,42
P00008042,132
P00008142,71
P00008242,25
P00008342,17
P00008442,155
P00008542,179
P00008642,66
P00008742,149
P00008842,174
P00008942,2
P00009042,65
P00009142,66
P00009242,148
P00009342,501
P00009442,9
P00009542,39
P00009642,5
P00009742,37
P00010042,41
P00010142,29
P00010242,510
P00010342,299
P00010442,9
P00010542,195
P00010642,4
P00010742,1922
P00010842,972
P00010942,445
P00011042,42
P00011142,8
P00011242,33
P00011342,58
P00011442,51
P00011542,7
P00011642,3
P00011742,31
P00011842,145
P00011942,86
P00012042,9
P00012142,253
P00012242,80
P00012342,1
P00012442,10
P00012542,7
P00012642,2
P00012742,12
P00012842,67
P00012942,1
P00013042,1
P00013142,106
P00013242,7
P00013342,6
P00013442,1
P00013542,1
P00013642,105
P00013742,533
P00013842,1
P00013942,334
P00014042,280
P00014142,14
P00014242,145
P00014342,18
P00014442,32
P00014542,960
P00014642,451
P00014742,55
P00014842,607
P00014942,138
P00015042,61
P00015142,49
P00015242,148
P00015342,206
P00015442,86
P00015542,421
P00015642,595
P00015742,381
P00015842,411
P00015942,307
P00016042,649
P00016142,44
P00016242,5
P00016342,274
P00016442,94
P00016542,239
P00016642,70
P00016742,368
P00016842,445
P00016942,66
P00017042,179
P00017142,172
P00017242,97
P00017342,16
P00017442,38
P00017542,365
P00017642,73
P00017742,43
P00017842,23
P00017942,24
P00018042,439
P00018142,159
P00018242,86
P00018342,148
P00018442,12
P00018542,73
P00018642,56
P00018742,2
P00018842,153
P00018942,165
P00019042,121
P00019142,438
P00019242,13
P00019342,463
P00019442,93
P00019542,9
P00019642,26
P00019742,19
P00019842,166
P00019942,155
P00020042,68
P00020142,67
P00020242,169
P00020342,513
P00020442,42
P00020542,29
P00020642,31
P00020742,7
P00020842,99
P00020942,22
P00021042,108
P00021142,276
P00021242,54
P00021342,157
P00021442,16
P00021542,21
P00021642,259
P00021742,1107
P00021842,284
P00021942,193
P00022042,1
P00022142,105
P00022242,11
P00022342,86
P00022442,283
P00022542,534
P00022642,264
P00022742,177
P00022842,118
P00022942,737
P00023042,258
P00023142,210
P00023242,23
P00023342,133
P00023442,34
P00023542,20
P00023642,62
P00023742,6
P00023842,9
P00023942,10
P00024042,556
P00024142,369
P00024242,111
P00024342,197
P00024442,21
P00024542,16
P00024642,269
P00024742,574
P00024842,30
P00024942,56
P00025042,163
P00025142,91
P00025242,109
P00025342,89
P00025442,2310
P00025542,232
P00025642,135
P00025742,18
P00025842,4
P00025942,619
P00026042,548
P00026142,103
P00026242,42
P00026342,45
P00026442,60
P00026542,47
P00026642,296
P00026742,193
P00026842,16
P00026942,60
P00027042,179
P00027142,126
P00027242,28
P00027342,35
P00027442,162
P00027542,183
P00027642,161
P00027742,14
P00027842,1
P00027942,13
P00028042,533
P00028142,128
P00028242,128
P00028342,40
P00028442,561
P00028542,693
P00028642,33
P00028742,23
P00028842,1713
P00028942,19
P00029042,19
P00029142,109
P00029242,545
P00029342,34
P00029442,64
P00029542,313
P00029642,26
P00029742,98
P00029842,274
P00029942,185
P00030042,159
P00030142,37
P00030242,4
P00030342,1
P00030442,94
P00030542,40
P00030642,231
P00030742,115
P00030842,859
P00030942,512
P00031042,1737
P00031142,207
P00031242,27
P00031342,43
P00031442,158
P00031542,23
P00031642,40
P00031742,50
P00031842,269
P00031942,115
P00032042,765
P00032142,108
P00032242,17
P00032342,118
P00032442,332
P00032542,89
P00032642,32
P00032742,16
P00032842,540
P00032942,176
P00033042,528
P00033142,68
P00033242,21
P00033342,397
P00033442,34
P00033542,590
P00033642,352
P00033742,95
P00033842,37
P00033942,339
P00034042,831
P00034142,407
P00034242,200
P00034342,91
P00034442,560
P00034542,53
P00034642,202
P00034742,1690
P00034842,980
P00034942,110
P00035042,13
P00035142,98
P00035242,204
P00035342,186
P00035442,49
P00035542,862
P00035642,54
P00035742,194
P00035842,912
P00035942,620
P00036042,43
P00036142,312
P00036242,180
P00036342,341
P00036442,201
P00036542,152
P00036642,11
P00036742,272
P00036842,1292
P00036942,116
P00037042,339
P00037142,1078
P00037242,161
P00037342,213
P00037442,224
P00037542,34
P00037642,8
P00037742,24
P00037842,76
P00037942,69
P00038042,13
P00038142,41
P00038242,34
P00038342,17
P00038442,79
P00038542,16
P00038642,1
P00038742,11
P00038842,1
P00038942,1
P00039042,1
P00039142,4
P00039242,162
P00039342,8
P00039442,151
P00039542,61
P00039642,36
P00039742,357
P00039842,10
P00039942,228
P00040042,196
P00040142,77
P00040242,141
P00040342,70
P00040442,168
P00040542,20
P00040642,121
P00040742,275
P00040842,78
P00040942,51
P00041042,175
P00041142,63
P00041242,81
P00041342,205
P00041442,129
P00041542,196
P00041642,137
P00041742,18
P00041842,282
P00041942,303
P00042042,36
P00042142,532
P00042242,391
P00042342,110
P00042442,47
P00042542,116
P00042642,1
P00042742,741
P00042842,505
P00042942,501
P00043042,23
P00043142,65
P00043242,76
P00043342,194
P00043442,21
P00043542,176
P00043642,53
P00043742,172
P00043842,74
P00043942,30
P00044042,52
P00044142,641
P00044242,219
P00044342,77
P00044442,1573
P00044542,67
P00044642,110
P00044742,28
P00044842,70
P00044942,21
P00045042,37
P00045142,160
P00045242,77
P00045342,449
P00045442,34
P00045542,273
P00045642,55
P00045742,28
P00045842,468
P00045942,35
P00046042,116
P00046142,763
P00046242,252
P00046342,30
P00046442,145
P00046542,16
P00046642,104
P00046742,2084
P00046842,233
P00046942,142
P00047042,64
P00047142,22
P00047242,388
P00047342,49
P00047442,45
P00047542,33
P00047642,75
P00047742,137
P00047842,171
P00047942,267
